Markdown File,HTML File,Total Images,Missing Images,Missing Image Names
"_posts/pt/2006-09-13-desfile-criando-moda-iguatemi-fashion-days.md","NOT_FOUND",22,22,"desfile-criando-moda-iguatemi-fashion-days-01.jpg; desfile-criando-moda-iguatemi-fashion-days-02.jpg; desfile-criando-moda-iguatemi-fashion-days-03.jpg; desfile-criando-moda-iguatemi-fashion-days-04.jpg; desfile-criando-moda-iguatemi-fashion-days-05.jpg; desfile-criando-moda-iguatemi-fashion-days-06.jpg; desfile-criando-moda-iguatemi-fashion-days-07.jpg; desfile-criando-moda-iguatemi-fashion-days-08.jpg; desfile-criando-moda-iguatemi-fashion-days-09.jpg; desfile-criando-moda-iguatemi-fashion-days-10.jpg; desfile-criando-moda-iguatemi-fashion-days-11.jpg; desfile-criando-moda-iguatemi-fashion-days-01.jpg; desfile-criando-moda-iguatemi-fashion-days-02.jpg; desfile-criando-moda-iguatemi-fashion-days-03.jpg; desfile-criando-moda-iguatemi-fashion-days-04.jpg; desfile-criando-moda-iguatemi-fashion-days-05.jpg; desfile-criando-moda-iguatemi-fashion-days-06.jpg; desfile-criando-moda-iguatemi-fashion-days-07.jpg; desfile-criando-moda-iguatemi-fashion-days-08.jpg; desfile-criando-moda-iguatemi-fashion-days-09.jpg; desfile-criando-moda-iguatemi-fashion-days-10.jpg; desfile-criando-moda-iguatemi-fashion-days-11.jpg"
"_posts/pt/2006-12-05-identidade-visual-caixa-de-criadores.md","NOT_FOUND",6,6,"identidade-visual-caixa-de-criadores-01.jpg; identidade-visual-caixa-de-criadores-02.jpg; identidade-visual-caixa-de-criadores-03.jpg; identidade-visual-caixa-de-criadores-01.jpg; identidade-visual-caixa-de-criadores-02.jpg; identidade-visual-caixa-de-criadores-03.jpg"
"_posts/pt/2006-12-12-colecao-lancada-no-1o-caixa-de-criadores.md","NOT_FOUND",20,20,"colecao-lancada-no-1o-caixa-de-criadores-01.jpg; colecao-lancada-no-1o-caixa-de-criadores-02.jpg; colecao-lancada-no-1o-caixa-de-criadores-03.jpg; colecao-lancada-no-1o-caixa-de-criadores-04.jpg; colecao-lancada-no-1o-caixa-de-criadores-05.jpg; colecao-lancada-no-1o-caixa-de-criadores-06.jpg; colecao-lancada-no-1o-caixa-de-criadores-07.jpg; colecao-lancada-no-1o-caixa-de-criadores-08.jpg; colecao-lancada-no-1o-caixa-de-criadores-09.jpg; colecao-lancada-no-1o-caixa-de-criadores-10.jpg; colecao-lancada-no-1o-caixa-de-criadores-01.jpg; colecao-lancada-no-1o-caixa-de-criadores-02.jpg; colecao-lancada-no-1o-caixa-de-criadores-03.jpg; colecao-lancada-no-1o-caixa-de-criadores-04.jpg; colecao-lancada-no-1o-caixa-de-criadores-05.jpg; colecao-lancada-no-1o-caixa-de-criadores-06.jpg; colecao-lancada-no-1o-caixa-de-criadores-07.jpg; colecao-lancada-no-1o-caixa-de-criadores-08.jpg; colecao-lancada-no-1o-caixa-de-criadores-09.jpg; colecao-lancada-no-1o-caixa-de-criadores-10.jpg"
"_posts/pt/2007-05-17-lancamento-verao-assembleia-paraense.md","NOT_FOUND",14,14,"lancamento-verao-assembleia-paraense-01.jpg; lancamento-verao-assembleia-paraense-02.jpg; lancamento-verao-assembleia-paraense-03.jpg; lancamento-verao-assembleia-paraense-04.jpg; lancamento-verao-assembleia-paraense-05.jpg; lancamento-verao-assembleia-paraense-06.jpg; lancamento-verao-assembleia-paraense-07.jpg; lancamento-verao-assembleia-paraense-01.jpg; lancamento-verao-assembleia-paraense-02.jpg; lancamento-verao-assembleia-paraense-03.jpg; lancamento-verao-assembleia-paraense-04.jpg; lancamento-verao-assembleia-paraense-05.jpg; lancamento-verao-assembleia-paraense-06.jpg; lancamento-verao-assembleia-paraense-07.jpg"
"_posts/pt/2007-06-02-editorial-liberdade-revista-roxy-delovely.md","NOT_FOUND",12,12,"editorial-liberdade-revista-roxy-delovely-01.png; editorial-liberdade-revista-roxy-delovely-02.png; editorial-liberdade-revista-roxy-delovely-03.png; editorial-liberdade-revista-roxy-delovely-04.png; editorial-liberdade-revista-roxy-delovely-05.png; editorial-liberdade-revista-roxy-delovely-06.jpg; editorial-liberdade-revista-roxy-delovely-01.png; editorial-liberdade-revista-roxy-delovely-02.png; editorial-liberdade-revista-roxy-delovely-03.png; editorial-liberdade-revista-roxy-delovely-04.png; editorial-liberdade-revista-roxy-delovely-05.png; editorial-liberdade-revista-roxy-delovely-06.jpg"
"_posts/pt/2007-07-09-materia-caderno-top-luty-vasconcelos.md","NOT_FOUND",0,0,""
"_posts/pt/2007-08-05-materia-lofficiel-brasil.md","NOT_FOUND",4,4,"materia-lofficiel-brasil-01.jpg; materia-lofficiel-brasil-02.jpg; materia-lofficiel-brasil-01.jpg; materia-lofficiel-brasil-02.jpg"
"_posts/pt/2008-06-27-projetos-junto-ao-estilista-andre-lima.md","NOT_FOUND",18,18,"projetos-junto-ao-estilista-andre-lima-01.jpg; projetos-junto-ao-estilista-andre-lima-02.jpg; projetos-junto-ao-estilista-andre-lima-03.jpg; projetos-junto-ao-estilista-andre-lima-04.jpg; projetos-junto-ao-estilista-andre-lima-05.jpg; projetos-junto-ao-estilista-andre-lima-06.jpg; projetos-junto-ao-estilista-andre-lima-07.jpg; projetos-junto-ao-estilista-andre-lima-08.jpg; projetos-junto-ao-estilista-andre-lima-09.jpg; projetos-junto-ao-estilista-andre-lima-01.jpg; projetos-junto-ao-estilista-andre-lima-02.jpg; projetos-junto-ao-estilista-andre-lima-03.jpg; projetos-junto-ao-estilista-andre-lima-04.jpg; projetos-junto-ao-estilista-andre-lima-05.jpg; projetos-junto-ao-estilista-andre-lima-06.jpg; projetos-junto-ao-estilista-andre-lima-07.jpg; projetos-junto-ao-estilista-andre-lima-08.jpg; projetos-junto-ao-estilista-andre-lima-09.jpg"
"_posts/pt/2008-11-01-programacao-visual-cd-floresta-sonora.md","NOT_FOUND",0,0,""
"_posts/pt/2009-01-02-editorial-floresta-de-sangue-revista-latitude-hangar.md","NOT_FOUND",12,12,"editorial-floresta-de-sangue-revista-latitude-hangar-01.png; editorial-floresta-de-sangue-revista-latitude-hangar-02.png; editorial-floresta-de-sangue-revista-latitude-hangar-03.png; editorial-floresta-de-sangue-revista-latitude-hangar-04.png; editorial-floresta-de-sangue-revista-latitude-hangar-05.png; editorial-floresta-de-sangue-revista-latitude-hangar-06.jpg; editorial-floresta-de-sangue-revista-latitude-hangar-01.png; editorial-floresta-de-sangue-revista-latitude-hangar-02.png; editorial-floresta-de-sangue-revista-latitude-hangar-03.png; editorial-floresta-de-sangue-revista-latitude-hangar-04.png; editorial-floresta-de-sangue-revista-latitude-hangar-05.png; editorial-floresta-de-sangue-revista-latitude-hangar-06.jpg"
"_posts/pt/2009-04-17-producao-de-moda-jornal-agora-sao-paulo.md","NOT_FOUND",24,24,"producao-de-moda-jornal-agora-sao-paulo-01.jpg; producao-de-moda-jornal-agora-sao-paulo-02.jpg; producao-de-moda-jornal-agora-sao-paulo-03.jpg; producao-de-moda-jornal-agora-sao-paulo-04.jpg; producao-de-moda-jornal-agora-sao-paulo-05.jpg; producao-de-moda-jornal-agora-sao-paulo-06.jpg; producao-de-moda-jornal-agora-sao-paulo-07.jpg; producao-de-moda-jornal-agora-sao-paulo-08.jpg; producao-de-moda-jornal-agora-sao-paulo-09.jpg; producao-de-moda-jornal-agora-sao-paulo-10.jpg; producao-de-moda-jornal-agora-sao-paulo-11.jpg; producao-de-moda-jornal-agora-sao-paulo-12.jpg; producao-de-moda-jornal-agora-sao-paulo-01.jpg; producao-de-moda-jornal-agora-sao-paulo-02.jpg; producao-de-moda-jornal-agora-sao-paulo-03.jpg; producao-de-moda-jornal-agora-sao-paulo-04.jpg; producao-de-moda-jornal-agora-sao-paulo-05.jpg; producao-de-moda-jornal-agora-sao-paulo-06.jpg; producao-de-moda-jornal-agora-sao-paulo-07.jpg; producao-de-moda-jornal-agora-sao-paulo-08.jpg; producao-de-moda-jornal-agora-sao-paulo-09.jpg; producao-de-moda-jornal-agora-sao-paulo-10.jpg; producao-de-moda-jornal-agora-sao-paulo-11.jpg; producao-de-moda-jornal-agora-sao-paulo-12.jpg"
"_posts/pt/2009-12-29-cobertura-caixa-de-criadores-2009-2010.md","NOT_FOUND",0,0,""
